id_show,show_type,title,cast,release_year,duration_mins,seasons,listed_in,company
14497,Movie,Anchor Baby,"Omoni Oboli, Sam Sarpong, Terri Oliver, Colin Paradine, Mark Cassius",2010,97,0,"Dramas, International Movies",Netflix
14498,Movie,Ben Platt Live From Radio City Music Hall,Ben Platt,2020,85,0,Music & Musicals,Netflix
14499,Movie,Honeytrap,"Jessica Sula, Lucien Laviscount, Ntonga Mwanza, Naomi Ryan, Danielle Vitalis, Lauren Johns, Tosin Cole, Savannah Gordon-Liburd, Modupe Adeyeye",2014,94,0,"Dramas, Independent Movies",Netflix
14500,Movie,I Will Follow,"Salli Richardson-Whitfield, Michole Briana White, Omari Hardwick, Tracie Thoms, Dijon Talton, Damone Roberts, Blair Underwood, Beverly Todd",2010,80,0,"Dramas, Independent Movies, Romantic Movies",Netflix
14501,Movie,Mutiny Of The Worker Bees,"Gustavo Egelhaaf, Alejandro Suárez, Bárbara De Regil, Mauricio Argüelles, César Rodríguez, Fernando Becerril, Anna Carreiro, Carlos Macías, José Sefami, Raquel Garza",2020,94,0,"Comedies, International Movies",Netflix
14502,TV Show,The Queen And The Conqueror,"Essined Aponte, Emmanuel Esparza, Kepa Amuchastegui, Manuel Navarro, Aroha Hafez, Ilenia Antonini, Alejandro Rodríguez, Cristina Warner, Juliette Arrieta, Fernando Campo, Camilo Jiménez, Jairo Camargo, Adelaida Buscato",2020,0,1,"International Tv Shows, Spanish-Language Tv Shows, Tv Dramas",Netflix
14503,Movie,What Are The Odds?,"Yashaswini Dayama, Karanvir Malhotra, Abhay Deol, Priyanka Bose, Monica Dogra, Sulabha Arya, Manu Rishi Chadha, Ananya Melkote",2020,92,0,"Comedies, Dramas, Independent Movies",Netflix
14504,Movie,Either Me Or My Auntie,"Mohamed Henedi, Donia Samir Ghanim, Hassan Hosny, Fadia Abdel Ghany, Alaa Morsy, Lotfy Labib, Nabil Issa, Hatem Jamel, Alaa Zinhom, Hala Sarhan",2006,105,0,"Comedies, International Movies",Netflix
14505,Movie,Escaping Tel Aviv,"Karim Abdel Aziz, Mona Zaki, Sherif Mounir, Entsar, Salem Klass, Sabri Abdulmonem, Kinda Alloush, Yasser Ali Maher, Kamal Suliman, Jerjes Jbara",2009,120,0,"Action & Adventure, International Movies",Netflix
14506,Movie,Game Over,"Yousra, Mai Ezz El-Din, Ezzat Abou Aouf, Mohamed Nour",2012,96,0,"Comedies, International Movies, Romantic Movies",Netflix
14507,Movie,Karkar,"Mohamed Saad, Hassan Hosny, Ragaa Al-Geddawy, Yasmin Abdulaziz, Alaa Morsy",2007,107,0,"Comedies, International Movies",Netflix
14508,Movie,My Sleeping Lover,"Mai Ezz El-Din, Khaled Abol Naga, Hassan Hosny, Marwa Abdel Monem, Moustafa Haridy, Nahla Zaki, Ezzat Abou Aouf, Reda Hamed, Muhammad Qishta",2008,93,0,"Comedies, International Movies",Netflix
14509,Movie,Omar & Salma 2,"Tamer Hosny, Mai Ezz El-Din, Ezzat Abou Aouf, Marwa Abdel Monem, Hussien Elgohary, Mirhan, Maysara",2009,101,0,"Comedies, International Movies",Netflix
14510,TV Show,Patton Oswalt: I Love Everything,"Patton Oswalt, Bob Rubin",2020,0,1,"Stand-Up Comedy & Talk Shows, Tv Comedies",Netflix
14511,TV Show,Sweet Magnolias,"Joanna Garcia Swisher, Brooke Elliott, Heather Headley, Chris Klein, Justin Bruening, Logan Allen, Anneliese Judge, Carson Rowland, Jamie Lynn Spears, Dion Johnstone",2020,0,1,"Romantic Tv Shows, Tv Dramas",Netflix
14512,Movie,Tarek'S Situation,"Ahmed Helmy, Nour, Majdi Kamel, Khaled El Sawy, Mais Hamdan, Moataza Abdel Sabour, Youssef Dawood, Youssef Fawzy, Mohamed Sharaf, Osama Munir",2006,110,0,"Comedies, International Movies, Romantic Movies",Netflix
